persona,visit_id,visit_time,visit_description,place_id,url,title,domain,visit_count,interest,title_name
Theo,100056,2024-10-23 16:24:00,Typed in Address Bar,1009,https://spanishflavors.com/paella-mariscos,Seafood Paella (Paella de Mariscos) - Spanish Flavors,spanishflavors.com,7,Curious Foodie,Seafood Paella
Theo,100002,2024-10-27 12:33:00,Typed in Address Bar,1010,https://hotpotlover.cn/seafood-hotpot/related,Related: Authentic Chinese Seafood Hotpot | HotpotLover,hotpotlover.cn,8,Curious Foodie,Chinese Seafood Hotpot
Theo,100042,2024-10-31 14:37:00,From Bookmark,1011,https://www.youtube.com/watch?v=seafood_grill,Grilled Mediterranean Seafood - YouTube,www.youtube.com,3,Curious Foodie,Mediterranean Seafood
Theo,100036,2024-11-04 08:10:00,From Bookmark,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,www.google.com,7,Search,Spicy Ramen
Theo,100040,2024-11-07 21:57:00,Typed in Address Bar,1012,https://spanishflavors.com/paella-mariscos/related,Related: Seafood Paella (Paella de Mariscos) - Spanish Flavors,spanishflavors.com,10,Curious Foodie,Seafood Paella
Theo,100027,2024-11-08 06:32:00,Link Clicked,1000,https://cuisinefrench.example.com/seafood/related,Related: French Seafood Recipes | CuisineFrench,cuisinefrench.example.com,5,Curious Foodie,French Seafood Recipes
Theo,100005,2024-11-16 04:55:00,Typed in Address Bar,1005,https://www.youtube.com/watch?v=seafood_grill/related,Related: Grilled Mediterranean Seafood - YouTube,www.youtube.com,5,Curious Foodie,Mediterranean Seafood
Theo,100057,2024-11-21 09:27:00,Link Clicked,1002,https://italiankitchen.example.com/pasta-di-mare,Pasta di Mare - Italian Kitchen,italiankitchen.example.com,3,Curious Foodie,Italian Seafood Pasta
Theo,100049,2024-11-24 14:20:00,Link Clicked,1009,https://spanishflavors.com/paella-mariscos,Seafood Paella (Paella de Mariscos) - Spanish Flavors,spanishflavors.com,5,Curious Foodie,Seafood Paella
Theo,100003,2024-11-25 05:41:00,Typed in Address Bar,1013,https://cuisinefrench.example.com/seafood,French Seafood Recipes | CuisineFrench,cuisinefrench.example.com,1,Curious Foodie,French Seafood Recipes
Theo,100000,2024-12-02 19:05:00,From Bookmark,1008,https://www.google.com/search?client=firefox-b-d&q=japanese+sushi,japanese sushi - Google Search,www.google.com,5,Search,Japanese Sushi
Theo,100011,2024-12-03 16:32:00,From Bookmark,1010,https://hotpotlover.cn/seafood-hotpot/related,Related: Authentic Chinese Seafood Hotpot | HotpotLover,hotpotlover.cn,6,Curious Foodie,Chinese Seafood Hotpot
Theo,100051,2024-12-24 00:44:00,Link Clicked,1009,https://spanishflavors.com/paella-mariscos,Seafood Paella (Paella de Mariscos) - Spanish Flavors,spanishflavors.com,4,Curious Foodie,Seafood Paella
Theo,100007,2025-01-03 12:40:00,Typed in Address Bar,1008,https://www.google.com/search?client=firefox-b-d&q=japanese+sushi,japanese sushi - Google Search,www.google.com,7,Search,Japanese Sushi
Theo,100033,2025-01-05 14:24:00,From Bookmark,1014,https://koreanbites.net/street-seafood/related,Related: Seafood in Korean Street Food Markets,koreanbites.net,5,Curious Foodie,Korean Street Food
Theo,100041,2025-01-09 02:39:00,Link Clicked,1002,https://italiankitchen.example.com/pasta-di-mare,Pasta di Mare - Italian Kitchen,italiankitchen.example.com,8,Curious Foodie,Italian Seafood Pasta
Theo,100014,2025-01-09 05:54:00,From Bookmark,1008,https://www.google.com/search?client=firefox-b-d&q=japanese+sushi,japanese sushi - Google Search,www.google.com,8,Search,Japanese Sushi
Youssef,85482,2025-01-21 12:29:00,Other,1015,https://www.khanacademy.org/,"khan academy | free online courses, lessons & practice learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. khan academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.",www.khanacademy.org,14,Students,
Robert,69049,2025-01-21 12:30:00,From Bookmark,1016,https://outlook.office365.com/mail/,sign in to outlook,outlook.office365.com,45,Workholics,
Youssef,80258,2025-01-21 12:33:00,Typed in Address Bar,1017,https://www.academia.edu/,"Academia.edu - Find Research Papers, Topics, Researchers",www.academia.edu,75,Students,
Youssef,72759,2025-01-21 12:35:00,Typed in Address Bar,1017,https://www.academia.edu/,"Academia.edu - Find Research Papers, Topics, Researchers",www.academia.edu,2,Students,
John,26326,2025-01-21 12:36:00,Other,1018,https://scholar.google.com/,Google Scholar,scholar.google.com,99,Students,
Mina,25160,2025-01-21 12:39:00,Other,1019,https://www.epicurious.com/,"Epicurious – Recipes, Menu Ideas, Videos & Cooking Tips | Epicurious",www.epicurious.com,96,Caregivers,
Anna,47665,2025-01-21 12:47:00,From Bookmark,1020,https://drive.google.com/,Google Drive: Sign-in,drive.google.com,71,Workholics,
Peter,72166,2025-01-21 12:50:00,From Bookmark,1021,https://www.backpacker.com/,"Backpacker – Hiking, Backpacking Gear Reviews & Trail Advice",www.backpacker.com,64,Outdoor Explorer,
Robert,80932,2025-01-21 12:53:00,Typed in Address Bar,1022,https://calendar.google.com/calendar/u/0/r,"Google Calendar - Easier Time Management, Appointments & Scheduling",calendar.google.com,59,Workholics,
Jessica,51984,2025-01-21 12:54:00,Link Clicked,1023,https://www.simplyrecipes.com/,"simply recipes - less stress. more joy simply recipes is here to help you cook delicious meals with less stress and more joy. we offer recipes and cooking advice for home cooks, by home cooks. helping create “kitchen wins” is what we’re all about.",www.simplyrecipes.com,87,Caregivers,
Mina,28997,2025-01-21 13:09:00,Link Clicked,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,96,Caregivers,
Theo,90240,2025-01-21 13:23:00,Other,1025,https://www.nytimes.com/section/books/,"The New York Times - Breaking News, US News, World News and Videos",www.nytimes.com,24,Book Worm,
Mina,16001,2025-01-21 13:28:00,Typed in Address Bar,1026,https://docs.google.com/document/d/example,sign in - google accounts,docs.google.com,2,Workholics,
Anna,22897,2025-01-21 13:33:00,From Bookmark,1016,https://outlook.office365.com/mail/,sign in to outlook,outlook.office365.com,55,Workholics,
Mina,71948,2025-01-21 13:44:00,From Bookmark,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,7,Caregivers,
Robert,69709,2025-01-21 13:44:00,Other,1022,https://calendar.google.com/calendar/u/0/r,"Google Calendar - Easier Time Management, Appointments & Scheduling",calendar.google.com,34,Workholics,
Youssef,28084,2025-01-21 13:45:00,Other,1027,https://www.academia.edu/followup/academia.edu,Follow-up on Academia.edu,www.academia.edu,2,Students,
Mina,95031,2025-01-21 14:04:00,Typed in Address Bar,1028,https://slack.com/,"slack is where the future works slack is a new way to communicate with your team. itâs faster, better organized, and more secure than email.",slack.com,17,Workholics,
Youssef,34377,2025-01-21 14:06:00,Typed in Address Bar,1027,https://www.academia.edu/followup/academia.edu,Follow-up on Academia.edu,www.academia.edu,23,Students,
Robert,64341,2025-01-21 14:08:00,Typed in Address Bar,1020,https://drive.google.com/,Google Drive: Sign-in,drive.google.com,100,Workholics,
Jessica,49563,2025-01-21 14:09:00,Typed in Address Bar,1019,https://www.epicurious.com/,"Epicurious – Recipes, Menu Ideas, Videos & Cooking Tips | Epicurious",www.epicurious.com,42,Caregivers,
Robert,96496,2025-01-21 14:12:00,Typed in Address Bar,1029,https://zoom.us/,"video conferencing, cloud phone, webinars, chat, virtual events | zoom zoom's secure, reliable video platform powers all of your communication needs, including meetings, chat, phone, webinars, and online events.",zoom.us,48,Workholics,
Youssef,28603,2025-01-21 14:36:00,Other,1030,https://www.coursera.org/,"coursera | online courses & credentials from top educators. join for free learn online and earn valuable credentials from top universities like yale, michigan, stanford, and leading companies like google and ibm. join coursera for free and transform your career with degrees, certificates, specializations, & moocs in data science, computer science, business, and dozens of other topics.",www.coursera.org,77,Students,
John,59550,2025-01-21 14:43:00,Typed in Address Bar,1031,https://scholar.google.com/followup/google,Follow-up on Google,scholar.google.com,42,Students,
Anna,72810,2025-01-21 14:44:00,Link Clicked,1032,https://github.com/,"github: where the world builds software · github github is where over 83 million developers shape the future of software, together. contribute to the open source community, manage your git repositories, review code like a pro, track bugs and features, power your ci/cd and devops workflows, and secure code before you commit it.",github.com,49,Workholics,
Jessica,36778,2025-01-21 14:48:00,Link Clicked,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,83,Caregivers,
Jessica,61888,2025-01-21 14:51:00,Typed in Address Bar,1033,https://mealplanner.example.com/,Meal Planner – Plan Healthy Meals and Recipes for Your Family,mealplanner.example.com,23,Caregivers,
Jessica,49160,2025-01-21 14:53:00,Typed in Address Bar,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,15,Caregivers,
Robert,98303,2025-01-21 14:54:00,Typed in Address Bar,1034,https://mail.google.com/mail/u/0/,Gmail,mail.google.com,97,Workholics,
Robert,16085,2025-01-21 15:08:00,Link Clicked,1035,https://zoom.us/followup/video,Follow-up on video,zoom.us,15,Workholics,
Jessica,42953,2025-01-21 15:10:00,From Bookmark,1036,https://www.epicurious.com/followup/follow-up,Follow-up on Follow-up,www.epicurious.com,46,Caregivers,
Jessica,46714,2025-01-21 15:23:00,Other,1037,https://www.yogajournal.com/,"Yoga Journal – Yoga Poses, Meditation & Healthy Living",www.yogajournal.com,70,Wellness Professionals,
Anna,84398,2025-01-21 15:24:00,Other,1016,https://outlook.office365.com/mail/,sign in to outlook,outlook.office365.com,38,Workholics,
John,43362,2025-01-21 15:25:00,Other,1038,https://www.spotify.com/,Spotify - Web Player: Music for everyone,www.spotify.com,15,Entertainment Connoisseur,
Jessica,82314,2025-01-21 15:27:00,Link Clicked,1039,https://www.allrecipes.com/,"allrecipes | food, friends, and recipe inspiration find and share everyday cooking inspiration on allrecipes. discover recipes, cooks, videos, and how-tos based on the food you love.",www.allrecipes.com,34,Caregivers,
Anna,55799,2025-01-21 15:39:00,Link Clicked,1034,https://mail.google.com/mail/u/0/,Gmail,mail.google.com,72,Workholics,
Robert,50343,2025-01-21 16:02:00,Typed in Address Bar,1034,https://mail.google.com/mail/u/0/,Gmail,mail.google.com,50,Workholics,
Jessica,89494,2025-01-21 16:02:00,Link Clicked,1023,https://www.simplyrecipes.com/,"simply recipes - less stress. more joy simply recipes is here to help you cook delicious meals with less stress and more joy. we offer recipes and cooking advice for home cooks, by home cooks. helping create “kitchen wins” is what we’re all about.",www.simplyrecipes.com,37,Caregivers,
John,77342,2025-01-21 16:18:00,Typed in Address Bar,1040,https://www.spotify.com/followup/spotify,Follow-up on Spotify,www.spotify.com,7,Entertainment Connoisseur,
Theo,92335,2025-01-21 16:35:00,Other,1041,https://www.nytimes.com/followup/the,Follow-up on The,www.nytimes.com,78,Book Worm,
Mina,97401,2025-01-21 16:35:00,Link Clicked,1042,https://slack.com/followup/slack,Follow-up on slack,slack.com,55,Workholics,
Youssef,57128,2025-01-21 17:06:00,Link Clicked,1043,https://www.researchgate.net/,researchgate | find and share research access 130+ million publications and connect with 20+ million researchers. join for free and gain visibility by uploading your research.,www.researchgate.net,90,Students,
Robert,67179,2025-01-21 17:12:00,Link Clicked,1044,https://mail.google.com/followup/gmail,Follow-up on Gmail,mail.google.com,30,Workholics,
Peter,95210,2025-01-21 17:15:00,Other,1045,https://www.alltrails.com/,"alltrails: trail guides & maps for hiking, camping, and running | alltrails search over 300,000 trails with trail info, maps, detailed reviews, and photos curated by millions of hikers, campers, and nature lovers like you.",www.alltrails.com,96,Outdoor Explorer,
Mina,21257,2025-01-21 17:17:00,From Bookmark,1042,https://slack.com/followup/slack,Follow-up on slack,slack.com,52,Workholics,
Robert,81412,2025-01-21 17:18:00,Other,1046,https://mail.google.com/followup/follow-up,Follow-up on Follow-up,mail.google.com,4,Workholics,
Youssef,80043,2025-01-21 17:23:00,Link Clicked,1047,https://www.coursera.org/followup/coursera,Follow-up on coursera,www.coursera.org,51,Students,
Jessica,25808,2025-01-21 17:34:00,Other,1048,https://www.allrecipes.com/followup/allrecipes,Follow-up on allrecipes,www.allrecipes.com,11,Caregivers,
Jessica,27647,2025-01-21 17:35:00,Typed in Address Bar,1023,https://www.simplyrecipes.com/,"simply recipes - less stress. more joy simply recipes is here to help you cook delicious meals with less stress and more joy. we offer recipes and cooking advice for home cooks, by home cooks. helping create “kitchen wins” is what we’re all about.",www.simplyrecipes.com,98,Caregivers,
Theo,91616,2025-01-21 17:48:00,From Bookmark,1049,https://maps.google.com/,Google Maps,maps.google.com,70,Local Explorer,
John,72750,2025-01-21 17:49:00,Link Clicked,1050,https://www.netflix.com/,"Netflix - Watch TV Shows Online, Watch Movies Online",www.netflix.com,28,Entertainment Connoisseur,
Peter,87422,2025-01-21 17:53:00,From Bookmark,1051,https://www.notion.so/,The AI workspace that works for you. | Notion,www.notion.so,35,Workholics,
John,60789,2025-01-21 17:56:00,Typed in Address Bar,1052,https://www.spotify.com/followup/follow-up,Follow-up on Follow-up,www.spotify.com,93,Entertainment Connoisseur,
Jessica,48392,2025-01-21 17:58:00,From Bookmark,1053,https://www.babycenter.com/,BabyCenter | The Most Accurate & Trustworthy Pregnancy & Parenting Information | BabyCenter,www.babycenter.com,37,Caregivers,
Jessica,69123,2025-01-21 18:02:00,Other,1054,https://www.headspace.com/,"meditation and sleep made simple - headspace live a healthier, happier, more well-rested life in just a few minutes a day with the headspace app.",www.headspace.com,23,Wellness Professionals,
John,22791,2025-01-21 18:05:00,Link Clicked,1052,https://www.spotify.com/followup/follow-up,Follow-up on Follow-up,www.spotify.com,7,Entertainment Connoisseur,
Robert,99449,2025-01-21 18:11:00,Typed in Address Bar,1046,https://mail.google.com/followup/follow-up,Follow-up on Follow-up,mail.google.com,33,Workholics,
Youssef,23046,2025-01-21 18:12:00,From Bookmark,1055,https://www.coursera.org/followup/follow-up,Follow-up on Follow-up,www.coursera.org,92,Students,
Jessica,82377,2025-01-21 18:13:00,Typed in Address Bar,1056,https://www.healthline.com/,Healthline: Medical information and health advice you can trust.,www.healthline.com,72,Wellness Professionals,
Robert,81219,2025-01-21 18:29:00,From Bookmark,1046,https://mail.google.com/followup/follow-up,Follow-up on Follow-up,mail.google.com,47,Workholics,
Robert,61686,2025-01-21 18:42:00,Typed in Address Bar,1057,https://www.atlassian.com/software/jira,"atlassian | software development and collaboration tools millions of users globally rely on atlassian products every day for improving software development, project management, collaboration, and code quality.",www.atlassian.com,89,Workholics,
Mina,78155,2025-01-21 18:44:00,Typed in Address Bar,1019,https://www.epicurious.com/,"Epicurious – Recipes, Menu Ideas, Videos & Cooking Tips | Epicurious",www.epicurious.com,49,Caregivers,
Mina,33093,2025-01-21 18:48:00,Link Clicked,1058,https://slack.com/followup/follow-up,Follow-up on Follow-up,slack.com,34,Workholics,
Robert,64694,2025-01-21 19:08:00,Typed in Address Bar,1059,https://www.atlassian.com/followup/atlassian,Follow-up on atlassian,www.atlassian.com,39,Workholics,
Youssef,37986,2025-01-21 19:19:00,From Bookmark,1017,https://www.academia.edu/,"Academia.edu - Find Research Papers, Topics, Researchers",www.academia.edu,92,Students,
Jessica,56290,2025-01-21 19:20:00,From Bookmark,1019,https://www.epicurious.com/,"Epicurious – Recipes, Menu Ideas, Videos & Cooking Tips | Epicurious",www.epicurious.com,1,Caregivers,
Jessica,41990,2025-01-21 19:44:00,Typed in Address Bar,1033,https://mealplanner.example.com/,Meal Planner – Plan Healthy Meals and Recipes for Your Family,mealplanner.example.com,14,Caregivers,
Theo,71866,2025-01-21 19:51:00,From Bookmark,1060,https://www.gutenberg.org/,Free eBooks | Project Gutenberg,www.gutenberg.org,52,Book Worm,
Jessica,14416,2025-01-21 19:55:00,From Bookmark,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,86,Caregivers,
Robert,95424,2025-01-21 19:59:00,Link Clicked,1059,https://www.atlassian.com/followup/atlassian,Follow-up on atlassian,www.atlassian.com,46,Workholics,
Jessica,28079,2025-01-21 20:11:00,Typed in Address Bar,1056,https://www.healthline.com/,Healthline: Medical information and health advice you can trust.,www.healthline.com,3,Wellness Professionals,
Anna,75297,2025-01-21 20:21:00,Typed in Address Bar,1051,https://www.notion.so/,The AI workspace that works for you. | Notion,www.notion.so,94,Workholics,
Jessica,11281,2025-01-21 20:33:00,Other,1019,https://www.epicurious.com/,"Epicurious – Recipes, Menu Ideas, Videos & Cooking Tips | Epicurious",www.epicurious.com,94,Caregivers,
Peter,57300,2025-01-21 20:36:00,Typed in Address Bar,1061,https://www.outdoorlife.com/,"outdoor life: hunting, fishing, gear reviews, survival tips expert hunting and fishing tips, new gear reviews, and everything else you need to know about outdoor adventure. this is outdoor life.",www.outdoorlife.com,34,Outdoor Explorer,
Robert,89947,2025-01-21 20:48:00,Link Clicked,1059,https://www.atlassian.com/followup/atlassian,Follow-up on atlassian,www.atlassian.com,23,Workholics,
Jessica,85617,2025-01-21 20:49:00,Link Clicked,1062,https://www.myfitnesspal.com/,Calorie Tracker & BMR Calculator to Reach Your Goals | MyFitnessPal,www.myfitnesspal.com,77,Wellness Professionals,
Anna,58621,2025-01-21 20:51:00,Other,1051,https://www.notion.so/,The AI workspace that works for you. | Notion,www.notion.so,77,Workholics,
Robert,63467,2025-01-21 20:59:00,Other,1063,https://www.trivago.com/,Trivago – Compare Hotel Prices from Major Travel Sites,www.trivago.com,2,Vacation/Trip Planner,
Jessica,61226,2025-01-21 21:12:00,Typed in Address Bar,1024,https://www.epicurious.com/followup/epicurious,Follow-up on Epicurious,www.epicurious.com,83,Caregivers,
Jessica,27571,2025-01-21 21:12:00,Link Clicked,1033,https://mealplanner.example.com/,Meal Planner – Plan Healthy Meals and Recipes for Your Family,mealplanner.example.com,1,Caregivers,
Anna,78713,2025-01-21 21:13:00,From Bookmark,1016,https://outlook.office365.com/mail/,sign in to outlook,outlook.office365.com,55,Workholics,
Youssef,63603,2025-01-21 21:20:00,From Bookmark,1030,https://www.coursera.org/,"coursera | online courses & credentials from top educators. join for free learn online and earn valuable credentials from top universities like yale, michigan, stanford, and leading companies like google and ibm. join coursera for free and transform your career with degrees, certificates, specializations, & moocs in data science, computer science, business, and dozens of other topics.",www.coursera.org,67,Students,
Mina,51784,2025-01-21 21:29:00,Other,1058,https://slack.com/followup/follow-up,Follow-up on Follow-up,slack.com,19,Workholics,
Youssef,88751,2025-01-21 21:33:00,Link Clicked,1018,https://scholar.google.com/,Google Scholar,scholar.google.com,13,Students,
Youssef,39798,2025-01-21 21:39:00,Link Clicked,1027,https://www.academia.edu/followup/academia.edu,Follow-up on Academia.edu,www.academia.edu,100,Students,
Theo,73101,2025-01-21 22:01:00,Typed in Address Bar,1060,https://www.gutenberg.org/,Free eBooks | Project Gutenberg,www.gutenberg.org,83,Book Worm,
Robert,50543,2025-01-21 22:04:00,From Bookmark,1064,https://www.trivago.com/followup/trivago,Follow-up on Trivago,www.trivago.com,12,Vacation/Trip Planner,
Robert,54416,2025-01-21 22:16:00,Link Clicked,1065,https://www.lonelyplanet.com/,Lonely Planet – Travel Guides & Inspiration,www.lonelyplanet.com,45,Vacation/Trip Planner,
Jessica,49815,2025-01-21 22:34:00,From Bookmark,1066,https://www.nhs.uk/,"the nhs website - nhs find information and advice on health conditions, symptoms, healthy living, medicines and how to get help.",www.nhs.uk,14,Caregivers,
John,55510,2025-01-21 22:35:00,Link Clicked,1067,https://www.hulu.com/,"stream tv and movies live and online | hulu watch tv shows and movies online. stream tv episodes of grey's anatomy, this is us, bob's burgers, brooklyn nine-nine, empire, snl, and popular movies on your favorite devices. start your free trial now. cancel anytime.",www.hulu.com,46,Entertainment Connoisseur,
Youssef,41300,2025-01-21 22:42:00,Link Clicked,1018,https://scholar.google.com/,Google Scholar,scholar.google.com,31,Students,
Anna,21651,2025-01-21 22:44:00,Other,1068,https://www.notion.so/followup/the,Follow-up on The,www.notion.so,95,Workholics,
Jessica,43654,2025-01-21 22:49:00,Other,1039,https://www.allrecipes.com/,"allrecipes | food, friends, and recipe inspiration find and share everyday cooking inspiration on allrecipes. discover recipes, cooks, videos, and how-tos based on the food you love.",www.allrecipes.com,27,Caregivers,
John,15803,2025-01-21 22:49:00,Other,1052,https://www.spotify.com/followup/follow-up,Follow-up on Follow-up,www.spotify.com,69,Entertainment Connoisseur,
Robert,39042,2025-01-21 22:50:00,From Bookmark,1069,https://meet.google.com/,"Google Meet - Online Video Calls, Meetings and Conferencing",meet.google.com,95,Workholics,
Youssef,84520,2025-01-21 23:14:00,Typed in Address Bar,1030,https://www.coursera.org/,"coursera | online courses & credentials from top educators. join for free learn online and earn valuable credentials from top universities like yale, michigan, stanford, and leading companies like google and ibm. join coursera for free and transform your career with degrees, certificates, specializations, & moocs in data science, computer science, business, and dozens of other topics.",www.coursera.org,87,Students,
John,68101,2025-01-21 23:22:00,Other,1038,https://www.spotify.com/,Spotify - Web Player: Music for everyone,www.spotify.com,18,Entertainment Connoisseur,
Youssef,42766,2025-01-21 23:27:00,Link Clicked,1030,https://www.coursera.org/,"coursera | online courses & credentials from top educators. join for free learn online and earn valuable credentials from top universities like yale, michigan, stanford, and leading companies like google and ibm. join coursera for free and transform your career with degrees, certificates, specializations, & moocs in data science, computer science, business, and dozens of other topics.",www.coursera.org,82,Students,
Mina,47838,2025-01-21 23:36:00,Typed in Address Bar,1028,https://slack.com/,"slack is where the future works slack is a new way to communicate with your team. itâs faster, better organized, and more secure than email.",slack.com,87,Workholics,
Youssef,59100,2025-01-21 23:37:00,Link Clicked,1047,https://www.coursera.org/followup/coursera,Follow-up on coursera,www.coursera.org,72,Students,
John,30043,2025-01-21 23:45:00,Link Clicked,1038,https://www.spotify.com/,Spotify - Web Player: Music for everyone,www.spotify.com,92,Entertainment Connoisseur,
John,58830,2025-01-22 00:02:00,From Bookmark,1052,https://www.spotify.com/followup/follow-up,Follow-up on Follow-up,www.spotify.com,37,Entertainment Connoisseur,
Anna,93849,2025-01-22 00:04:00,From Bookmark,1070,https://www.apartmenttherapy.com/,Apartment Therapy – Home Decor Ideas & Interior Inspiration,www.apartmenttherapy.com,36,Home Hackers,
Jessica,88986,2025-01-22 00:14:00,Link Clicked,1071,https://www.healthline.com/nutrition,Healthline: Medical information and health advice you can trust.,www.healthline.com,37,Wellness Professionals,
Theo,11627,2025-01-22 00:17:00,Typed in Address Bar,1025,https://www.nytimes.com/section/books/,"The New York Times - Breaking News, US News, World News and Videos",www.nytimes.com,63,Book Worm,
Jessica,71231,2025-01-22 00:22:00,From Bookmark,1072,https://www.healthline.com/followup/healthline:,Follow-up on Healthline:,www.healthline.com,60,Wellness Professionals,
Jessica,60757,2025-01-22 00:43:00,Other,1056,https://www.healthline.com/,Healthline: Medical information and health advice you can trust.,www.healthline.com,85,Wellness Professionals,
Youssef,87194,2025-01-22 00:46:00,Link Clicked,1055,https://www.coursera.org/followup/follow-up,Follow-up on Follow-up,www.coursera.org,38,Students,
Robert,30342,2025-01-22 00:58:00,From Bookmark,1073,https://www.trivago.com/followup/follow-up,Follow-up on Follow-up,www.trivago.com,63,Vacation/Trip Planner,
Mina,24567,2025-01-22 00:59:00,Link Clicked,1026,https://docs.google.com/document/d/example,sign in - google accounts,docs.google.com,87,Workholics,
John,76006,2025-01-22 01:02:00,Typed in Address Bar,1074,https://www.goodreads.com/,"goodreads | meet your next favorite book find and read more books youâll love, and keep track of the books you want to read. be part of the worldâs largest community of book lovers on goodreads.",www.goodreads.com,11,Book Worm,
Youssef,27557,2025-01-22 01:05:00,Typed in Address Bar,1047,https://www.coursera.org/followup/coursera,Follow-up on coursera,www.coursera.org,52,Students,
Robert,97479,2025-01-22 01:40:00,Typed in Address Bar,1034,https://mail.google.com/mail/u/0/,Gmail,mail.google.com,69,Workholics,
Mina,55461,2025-01-22 01:49:00,Other,1075,https://docs.google.com/followup/sign,Follow-up on sign,docs.google.com,95,Workholics,
John,99572,2025-01-22 01:58:00,Link Clicked,1076,https://www.crunchyroll.com/,Crunchyroll – Watch Anime Streaming Online,www.crunchyroll.com,29,Entertainment Connoisseur,
John,72774,2025-01-22 02:06:00,Link Clicked,1052,https://www.spotify.com/followup/follow-up,Follow-up on Follow-up,www.spotify.com,20,Entertainment Connoisseur,
Robert,17898,2025-01-22 02:09:00,Typed in Address Bar,1077,https://www.expedia.com/,"Expedia – Flights, Hotels, Car Rentals, and Vacation Packages",www.expedia.com,74,Vacation/Trip Planner,
Peter,46340,2025-01-22 02:10:00,Link Clicked,1068,https://www.notion.so/followup/the,Follow-up on The,www.notion.so,99,Workholics,
Robert,68326,2025-01-22 02:14:00,Link Clicked,1022,https://calendar.google.com/calendar/u/0/r,"Google Calendar - Easier Time Management, Appointments & Scheduling",calendar.google.com,49,Workholics,
Youssef,98755,2025-01-22 02:17:00,Other,1017,https://www.academia.edu/,"Academia.edu - Find Research Papers, Topics, Researchers",www.academia.edu,52,Students,
Theo,59307,2025-01-22 02:18:00,From Bookmark,1078,https://www.audible.com/,"audible.com | try audible free today try audible free for 30 days! start listening to best-selling audiobooks, exclusive originals, and free podcasts with the audible app.",www.audible.com,72,Book Worm,
